3500.50,28,720,2,1
2100.00,45,650,3,0
5200.75,35,780,1,1
1800.25,22,600,4,0
4500.00,40,750,2,1
2800.50,30,680,3,1
1500.00,25,590,5,0
6000.00,38,800,1,1
3200.75,32,710,2,1
2500.00,50,640,3,0
4800. 50,36,770,2,1
2000.00,27,620,4,0
5500.25,42,790,1,1
3000.00,29,700,2,1
1700.50,24,610,4,0
5800.75,39,810,1,1
3400.00,33,720,2,1
2300.50,48,655,3,0
4200.25,37,745,2,1
2700.00,31,690,3,1
1600.00,23,595,5,0
5600. 50,41,795,1,1
3100.75,34,715,2,1
2400. 00,49,645,3,0
4700.50,38,765,2,1
1900.00,26,615,4,0
5300.25,40,785,1,1
3300.00,30,705,2,1
2200. 50,47,650,3,0
4900. 75,35,775,2,1
2600.00,32,685,3,1
1550.00,25,600,5,0
5700.50,43,800,1,1
3250.75,31,710,2,1
2350.00,46,660,3,0
4600. 25,39,760,2,1
2750.00,33,695,3,1
1650.00,24,605,4,0
5400.50,42,790,1,1
3150. 00,28,700,2,1
